Variable,Stable Trait,Autoregressive Trait,State
Life Satisfaction,0.359675833612824,0.296503621241118,0.343820545146059
Social Support,0.405024686001397,0.307310920393351,0.287664393605252
General Health,0.495008201660895,0.26142279954896,0.243568998790145
SF-36 Pain,0.237171381947434,0.401842970861704,0.360985647190862
Weight,0.578827659543305,0.393072599862899,0.0280997405937967
Physical Activity,0.286124559877488,0.338466970580772,0.37540846954174
Pressed for Time,0.15464265312025,0.494975984151834,0.350381362727916
Household Income,0.236444671766283,0.374428491960924,0.389126836272793
Household Wages,0.378776148939694,0.535154356363416,0.0860694946968898
Minutes Commuting,0.137948842569568,0.616810792173424,0.245240365257008
